Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Supply_Demand_Ratio,Is_Peak_Hour,Demand_Urgency,Customer_Segment,Cancellation_Risk_Index
36,18,Urban,silver,88,3.73,Night,Premium,92,345.40676830595487,0.5,0,0,2,Moderate Risk
56,10,Urban,silver,55,4.5,Night,Economy,45,151.15212964816465,0.1785714285714285,0,0,2,Low Risk
97,81,Suburban,regular,52,4.56,Evening,Economy,125,530.7599938912294,0.8350515463917526,0,0,2,Low Risk
63,9,Rural,regular,89,3.87,Afternoon,Premium,166,482.85016419959805,0.1428571428571428,1,1,2,Moderate Risk
78,33,Urban,silver,35,4.46,Morning,Premium,116,355.9595074862448,0.4230769230769231,1,1,1,Moderate Risk
29,10,Suburban,regular,25,3.77,Afternoon,Economy,91,303.9609626071891,0.3448275862068966,1,1,1,Moderate Risk
73,33,Suburban,silver,60,3.88,Night,Premium,161,514.8771742414517,0.4520547945205479,0,0,2,Moderate Risk
94,29,Urban,regular,67,3.59,Evening,Premium,96,361.13235495172165,0.3085106382978723,0,0,2,Moderate Risk
54,28,Suburban,silver,83,4.49,Night,Economy,32,80.26246462184758,0.5185185185185185,0,0,2,Moderate Risk
67,6,Rural,gold,15,3.53,Night,Economy,123,420.6239113101238,0.0895522388059701,0,0,2,Moderate Risk
23,8,Urban,silver,27,4.73,Afternoon,Economy,117,520.8926706123274,0.3478260869565217,1,1,1,Moderate Risk
70,14,Urban,silver,16,4.3,Morning,Economy,53,183.07579104191225,0.2,1,1,1,Moderate Risk
20,10,Rural,silver,70,4.92,Evening,Economy,65,190.13746358777752,0.5,0,0,2,Low Risk
95,84,Suburban,gold,18,3.86,Afternoon,Premium,112,522.3021028701461,0.8842105263157894,1,1,2,Moderate Risk
43,16,Urban,silver,40,4.89,Night,Premium,106,410.6863449474928,0.3720930232558139,0,0,1,Low Risk
97,55,Suburban,silver,94,4.62,Evening,Premium,150,584.9958711291002,0.5670103092783505,0,0,2,Low Risk
32,20,Rural,silver,44,3.55,Night,Economy,68,301.62262644973293,0.625,0,0,1,Moderate Risk
95,25,Suburban,regular,72,4.16,Morning,Premium,128,413.5870840445325,0.2631578947368421,1,1,2,Moderate Risk
47,15,Urban,gold,14,4.84,Night,Economy,89,273.11810461931896,0.3191489361702128,0,0,2,Moderate Risk
25,11,Rural,silver,33,3.85,Night,Economy,94,247.1745626508575,0.44,0,0,1,Moderate Risk
37,22,Rural,regular,76,4.72,Afternoon,Economy,69,213.4432507972432,0.5945945945945946,1,1,2,Low Risk
59,39,Suburban,gold,49,3.78,Morning,Premium,98,295.79438015283176,0.6610169491525424,1,1,2,Moderate Risk
42,20,Urban,silver,88,4.64,Night,Premium,29,145.0698091748401,0.4761904761904761,0,0,2,Low Risk
53,11,Rural,regular,2,3.5,Afternoon,Premium,81,297.0186264188845,0.2075471698113207,1,1,0,High Risk
79,64,Rural,regular,91,4.57,Night,Economy,164,666.6870291344428,0.810126582278481,0,0,2,Low Risk
59,23,Urban,gold,41,4.97,Evening,Premium,91,449.5456339145253,0.3898305084745763,0,0,2,Low Risk
40,29,Urban,regular,72,4.3,Afternoon,Economy,147,624.9860100296204,0.725,1,1,2,Moderate Risk
76,40,Suburban,silver,77,4.17,Morning,Economy,28,96.03520851587072,0.5263157894736842,1,1,2,Moderate Risk
41,26,Urban,regular,96,3.91,Night,Economy,169,637.7593915947267,0.6341463414634146,0,0,2,Moderate Risk
83,14,Urban,regular,80,4.77,Night,Premium,64,295.5887110300315,0.1686746987951807,0,0,2,Low Risk
44,17,Rural,regular,15,4.0,Evening,Economy,98,353.33854512223814,0.3863636363636363,0,0,0,Moderate Risk
91,73,Urban,gold,61,4.39,Night,Economy,15,62.25429041832141,0.8021978021978022,0,0,2,Moderate Risk
54,16,Suburban,regular,8,4.5,Afternoon,Premium,67,266.0685899337195,0.2962962962962963,1,1,0,Moderate Risk
59,37,Rural,silver,86,4.67,Night,Premium,95,340.1282671016029,0.6271186440677966,0,0,2,Low Risk
72,43,Suburban,gold,28,4.87,Afternoon,Economy,132,443.258155352454,0.5972222222222222,1,1,2,Moderate Risk
47,9,Rural,gold,49,4.44,Evening,Economy,96,265.05527443495566,0.1914893617021276,0,0,2,Moderate Risk
32,22,Rural,silver,49,4.65,Night,Economy,60,221.4343854791753,0.6875,0,0,1,Low Risk
45,13,Rural,regular,96,4.84,Night,Economy,112,393.2308288248255,0.2888888888888888,0,0,2,Low Risk
72,45,Urban,silver,82,4.42,Night,Premium,40,151.58040412487964,0.625,0,0,2,Moderate Risk
56,15,Urban,gold,34,4.72,Night,Premium,78,313.9950046053331,0.2678571428571428,0,0,2,Low Risk
42,22,Rural,silver,67,3.81,Afternoon,Premium,82,366.1515260551269,0.5238095238095238,1,1,2,Moderate Risk
52,14,Suburban,silver,87,3.54,Afternoon,Premium,98,425.97356882411634,0.2692307692307692,1,1,2,Moderate Risk
81,23,Urban,gold,39,4.3,Evening,Economy,143,359.0531279855558,0.2839506172839506,0,0,2,Moderate Risk
77,25,Rural,regular,70,4.27,Afternoon,Premium,52,260.34417984860374,0.3246753246753247,1,1,2,Moderate Risk
27,6,Urban,gold,2,4.42,Night,Economy,86,320.30170917475425,0.2222222222222222,0,0,2,Moderate Risk
74,34,Rural,regular,18,4.66,Morning,Premium,140,454.49212153190336,0.4594594594594595,1,1,0,Moderate Risk
92,69,Urban,silver,88,4.69,Afternoon,Economy,18,45.11502370436019,0.75,1,1,2,Low Risk
77,34,Rural,gold,33,4.13,Night,Premium,48,223.6621142931812,0.4415584415584415,0,0,2,Moderate Risk
66,6,Rural,regular,23,4.2,Evening,Economy,45,173.1577542620492,0.0909090909090909,0,0,1,Moderate Risk
77,39,Urban,regular,23,4.29,Morning,Economy,167,592.240499627505,0.5064935064935064,1,1,1,Moderate Risk
35,16,Urban,regular,31,4.75,Afternoon,Premium,113,379.3078104185831,0.4571428571428571,1,1,1,Low Risk
48,38,Rural,gold,40,3.7,Evening,Premium,80,360.7111703191874,0.7916666666666666,0,0,2,Moderate Risk
61,18,Rural,gold,84,3.93,Evening,Premium,58,203.49261837786293,0.2950819672131147,0,0,2,Moderate Risk
71,21,Suburban,silver,82,4.88,Afternoon,Premium,126,553.5451307734787,0.2957746478873239,1,1,2,Low Risk
95,7,Rural,gold,40,4.68,Evening,Economy,95,283.46644254307614,0.0736842105263157,0,0,2,Low Risk
76,44,Suburban,gold,20,3.56,Afternoon,Premium,105,435.14534513079855,0.5789473684210527,1,1,2,Moderate Risk
32,13,Suburban,regular,21,4.64,Afternoon,Economy,156,685.7681264991488,0.40625,1,1,1,Moderate Risk
49,30,Rural,silver,57,4.83,Evening,Economy,154,630.8608868741742,0.6122448979591837,0,0,2,Low Risk
38,17,Urban,silver,92,4.41,Afternoon,Premium,138,546.1568747653598,0.4473684210526316,1,1,2,Moderate Risk
92,35,Suburban,regular,46,4.72,Morning,Economy,45,115.35700254441711,0.3804347826086957,1,1,1,Low Risk
40,29,Suburban,silver,26,4.26,Night,Economy,152,404.0498951423794,0.725,0,0,1,Moderate Risk
55,42,Suburban,silver,24,4.49,Afternoon,Economy,45,156.03832988580584,0.7636363636363637,1,1,1,Moderate Risk
58,34,Rural,gold,19,4.55,Morning,Premium,131,501.26295506529306,0.5862068965517241,1,1,2,Moderate Risk
34,5,Urban,regular,26,4.85,Evening,Premium,152,562.4369764527329,0.1470588235294117,0,0,1,Moderate Risk
70,47,Suburban,silver,3,3.66,Morning,Premium,53,216.8024750869831,0.6714285714285714,1,1,1,High Risk
51,24,Rural,gold,25,4.68,Afternoon,Premium,16,120.09069016935676,0.4705882352941176,1,1,2,Moderate Risk
88,56,Rural,regular,11,4.36,Afternoon,Economy,60,221.1576532597614,0.6363636363636364,1,1,0,Moderate Risk
25,8,Suburban,silver,83,3.53,Evening,Economy,121,492.7012709061221,0.32,0,0,2,Moderate Risk
34,19,Rural,regular,51,4.2,Night,Premium,166,754.2344800100251,0.5588235294117647,0,0,2,Moderate Risk
40,15,Urban,regular,90,3.62,Night,Premium,42,211.52772882563164,0.375,0,0,2,Moderate Risk
26,7,Suburban,gold,58,4.91,Afternoon,Economy,161,460.75927538572495,0.2692307692307692,1,1,2,Low Risk
81,42,Suburban,regular,88,4.14,Afternoon,Economy,47,164.10747354764283,0.5185185185185185,1,1,2,Moderate Risk
80,56,Suburban,gold,63,4.57,Night,Premium,43,213.6962129956236,0.7,0,0,2,Low Risk
64,19,Rural,gold,86,4.68,Night,Premium,171,732.9893961300692,0.296875,0,0,2,Low Risk
45,18,Rural,gold,68,4.07,Morning,Economy,136,350.6012026111729,0.4,1,1,2,Moderate Risk
84,49,Urban,regular,32,4.25,Night,Premium,53,192.8798062051633,0.5833333333333334,0,0,1,Moderate Risk
34,16,Urban,silver,47,4.12,Evening,Economy,93,294.11580585015537,0.4705882352941176,0,0,1,Moderate Risk
67,32,Suburban,regular,40,4.47,Afternoon,Premium,13,82.52418774801069,0.4776119402985074,1,1,1,Moderate Risk
93,23,Suburban,silver,34,4.23,Evening,Premium,125,386.169069413996,0.2473118279569892,0,0,1,Moderate Risk
100,51,Urban,silver,56,3.58,Night,Economy,89,310.9003272621974,0.51,0,0,2,Moderate Risk
35,22,Suburban,gold,15,4.23,Morning,Premium,120,373.96284065200393,0.6285714285714286,1,1,2,Moderate Risk
36,13,Rural,silver,31,4.71,Night,Economy,71,221.5511001313172,0.3611111111111111,0,0,1,Low Risk
28,18,Suburban,regular,100,3.7,Afternoon,Economy,127,531.1127009643968,0.6428571428571429,1,1,2,Moderate Risk
21,9,Urban,gold,10,3.88,Morning,Premium,108,324.9426389036563,0.4285714285714285,1,1,2,Moderate Risk
26,15,Urban,regular,35,5.0,Morning,Premium,161,493.4068923175674,0.5769230769230769,1,1,1,Low Risk
97,21,Suburban,regular,59,3.87,Evening,Premium,174,778.6333560141928,0.2164948453608247,0,0,2,Moderate Risk
26,15,Urban,silver,10,3.71,Morning,Premium,171,720.1572085631501,0.5769230769230769,1,1,1,Moderate Risk
91,56,Urban,gold,17,4.66,Night,Economy,10,38.23523523879646,0.6153846153846154,0,0,2,Moderate Risk
65,48,Rural,silver,12,4.37,Afternoon,Premium,140,573.5891064527985,0.7384615384615385,1,1,1,Moderate Risk
88,28,Urban,gold,22,4.99,Night,Premium,154,682.016246966075,0.3181818181818182,0,0,2,Moderate Risk
82,13,Suburban,gold,32,3.58,Night,Economy,148,516.4367273015673,0.1585365853658536,0,0,2,Moderate Risk
65,40,Urban,silver,48,3.59,Evening,Economy,121,492.5196024192815,0.6153846153846154,0,0,1,Moderate Risk
41,6,Urban,silver,56,4.32,Night,Economy,11,49.234784001519046,0.1463414634146341,0,0,2,Moderate Risk
85,36,Rural,silver,64,4.32,Evening,Economy,152,506.6928860981053,0.4235294117647059,0,0,2,Moderate Risk
35,13,Rural,silver,80,3.8,Afternoon,Economy,93,304.3133394836575,0.3714285714285714,1,1,2,Moderate Risk
83,29,Urban,silver,78,4.42,Afternoon,Premium,23,111.179341237614,0.3493975903614458,1,1,2,Moderate Risk
91,31,Urban,regular,12,4.39,Night,Economy,39,163.21458328772866,0.3406593406593406,0,0,0,Moderate Risk
44,28,Rural,regular,31,4.92,Night,Premium,132,402.856989480614,0.6363636363636364,0,0,1,Low Risk
96,12,Suburban,gold,15,4.97,Night,Economy,90,289.2351908680133,0.125,0,0,2,Moderate Risk
77,46,Suburban,regular,97,4.2,Afternoon,Premium,25,150.53929481479082,0.5974025974025974,1,1,2,Moderate Risk
91,80,Rural,gold,74,4.74,Night,Economy,46,194.93555934032696,0.8791208791208791,0,0,2,Low Risk
93,42,Rural,silver,75,4.66,Morning,Economy,160,674.6485035775572,0.4516129032258064,1,1,2,Low Risk
41,9,Rural,silver,73,3.51,Morning,Economy,150,551.5572340398235,0.2195121951219512,1,1,2,Moderate Risk
61,44,Suburban,regular,69,4.54,Afternoon,Economy,52,132.2147645898824,0.7213114754098361,1,1,2,Low Risk
83,10,Urban,gold,28,3.91,Afternoon,Economy,23,70.11182411078714,0.1204819277108433,1,1,2,Moderate Risk
59,22,Rural,regular,79,4.38,Morning,Premium,93,346.2847096470098,0.3728813559322034,1,1,2,Moderate Risk
42,31,Suburban,gold,62,4.95,Night,Premium,13,102.04473025177862,0.7380952380952381,0,0,2,Low Risk
81,16,Suburban,regular,73,4.89,Night,Economy,125,494.1401793052489,0.1975308641975308,0,0,2,Low Risk
72,19,Rural,gold,89,4.74,Morning,Premium,45,183.658314681842,0.2638888888888889,1,1,2,Low Risk
43,9,Rural,silver,2,4.12,Morning,Economy,126,436.5576476487414,0.2093023255813953,1,1,1,High Risk
74,33,Urban,silver,82,4.13,Afternoon,Economy,10,31.362081322241885,0.4459459459459459,1,1,2,Moderate Risk
68,45,Rural,silver,65,4.19,Evening,Economy,112,323.4791093139413,0.6617647058823529,0,0,2,Moderate Risk
36,13,Urban,silver,84,4.88,Evening,Premium,140,505.3840569466695,0.3611111111111111,0,0,2,Low Risk
51,5,Urban,gold,0,4.59,Afternoon,Premium,92,320.8576215627125,0.0980392156862745,1,1,2,Moderate Risk
63,23,Urban,silver,48,4.09,Evening,Economy,49,214.5660524456202,0.365079365079365,0,0,1,Moderate Risk
96,29,Urban,regular,84,3.65,Night,Economy,176,758.5015334295354,0.3020833333333333,0,0,2,Moderate Risk
94,59,Suburban,regular,84,4.38,Morning,Premium,175,665.7295341217325,0.6276595744680851,1,1,2,Moderate Risk
74,32,Suburban,regular,2,4.7,Evening,Premium,38,171.06636292972274,0.4324324324324324,0,0,0,Moderate Risk
91,13,Rural,silver,32,3.6,Morning,Premium,160,647.3526381087524,0.1428571428571428,1,1,1,Moderate Risk
69,12,Suburban,regular,42,4.34,Afternoon,Premium,158,608.1282399929386,0.1739130434782608,1,1,1,Moderate Risk
51,20,Rural,silver,57,3.68,Night,Economy,67,246.92292493661097,0.392156862745098,0,0,2,Moderate Risk
45,17,Rural,gold,10,4.93,Night,Premium,148,430.0665305032927,0.3777777777777777,0,0,2,Moderate Risk
92,34,Suburban,regular,98,3.99,Night,Economy,140,396.6387527092545,0.3695652173913043,0,0,2,Moderate Risk
69,36,Suburban,gold,55,4.74,Morning,Economy,109,436.0114486061054,0.5217391304347826,1,1,2,Low Risk
56,14,Suburban,silver,30,3.67,Night,Economy,48,202.9454568505992,0.25,0,0,1,Moderate Risk
43,26,Rural,regular,59,4.91,Afternoon,Economy,175,731.7816872483901,0.6046511627906976,1,1,2,Low Risk
86,48,Urban,silver,37,4.15,Night,Economy,84,216.05054809363543,0.5581395348837209,0,0,1,Moderate Risk
61,34,Urban,gold,82,3.99,Night,Premium,10,83.86835620425342,0.5573770491803278,0,0,2,Moderate Risk
50,36,Suburban,gold,18,4.61,Night,Economy,145,572.2420492964254,0.72,0,0,2,Moderate Risk
73,34,Urban,regular,95,4.31,Morning,Premium,21,118.8070474355678,0.4657534246575342,1,1,2,Moderate Risk
76,7,Urban,gold,76,4.35,Morning,Economy,72,245.8935711917164,0.0921052631578947,1,1,2,Moderate Risk
87,41,Urban,regular,87,4.36,Night,Economy,87,387.1117403297744,0.4712643678160919,0,0,2,Moderate Risk
53,33,Rural,regular,40,3.8,Morning,Premium,139,507.9505746530285,0.6226415094339622,1,1,1,Moderate Risk
71,8,Suburban,silver,57,3.68,Night,Economy,75,249.302974601016,0.1126760563380281,0,0,2,Moderate Risk
32,5,Rural,gold,80,3.55,Night,Economy,14,45.91711193197189,0.15625,0,0,2,Moderate Risk
91,30,Suburban,gold,34,3.69,Afternoon,Economy,96,424.6120578300381,0.3296703296703296,1,1,2,Moderate Risk
47,37,Suburban,gold,64,3.75,Morning,Economy,31,85.97357530080251,0.7872340425531915,1,1,2,Moderate Risk
23,13,Rural,silver,42,4.55,Night,Economy,87,328.9669925908357,0.5652173913043478,0,0,1,Low Risk
57,20,Rural,regular,92,3.74,Morning,Economy,53,172.62943414987132,0.3508771929824561,1,1,2,Moderate Risk
48,17,Suburban,silver,2,4.09,Evening,Economy,85,261.9435328532634,0.3541666666666667,0,0,1,High Risk
22,5,Urban,gold,39,4.92,Evening,Economy,56,199.0416803252397,0.2272727272727272,0,0,2,Low Risk
60,19,Urban,silver,37,4.22,Evening,Economy,68,232.2834549147445,0.3166666666666666,0,0,1,Moderate Risk
94,42,Rural,regular,0,4.23,Morning,Premium,36,185.311838106628,0.4468085106382978,1,1,0,Moderate Risk
43,6,Suburban,silver,34,4.4,Morning,Premium,24,153.76143970087224,0.1395348837209302,1,1,1,Moderate Risk
97,18,Suburban,regular,53,4.25,Night,Premium,26,126.4771352873347,0.1855670103092783,0,0,2,Moderate Risk
47,17,Rural,silver,7,4.8,Morning,Economy,173,609.5038276051239,0.3617021276595745,1,1,1,Moderate Risk
39,28,Urban,silver,72,3.76,Afternoon,Premium,87,287.1624375675698,0.717948717948718,1,1,2,Moderate Risk
50,39,Suburban,regular,94,3.81,Evening,Premium,139,406.32480651562713,0.78,0,0,2,Moderate Risk
35,17,Urban,regular,78,4.4,Evening,Premium,61,249.03711265544783,0.4857142857142857,0,0,2,Moderate Risk
28,8,Suburban,regular,69,3.86,Evening,Premium,175,620.9016915662245,0.2857142857142857,0,0,2,Moderate Risk
51,32,Rural,regular,98,4.44,Morning,Premium,51,267.0607016773296,0.6274509803921569,1,1,2,Moderate Risk
54,12,Suburban,silver,84,4.98,Evening,Premium,172,715.7547930992089,0.2222222222222222,0,0,2,Low Risk
65,10,Urban,regular,77,4.36,Afternoon,Economy,170,430.385487919734,0.1538461538461538,1,1,2,Moderate Risk
61,26,Rural,gold,21,3.85,Morning,Premium,126,604.273047008686,0.4262295081967213,1,1,2,Moderate Risk
46,9,Suburban,silver,67,4.22,Evening,Premium,47,243.5250631593867,0.1956521739130435,0,0,2,Moderate Risk
73,50,Urban,regular,7,4.22,Night,Economy,45,176.2144067384048,0.684931506849315,0,0,0,Moderate Risk
86,49,Urban,regular,99,3.51,Night,Economy,130,471.4796320940979,0.5697674418604651,0,0,2,Moderate Risk
75,7,Suburban,gold,100,4.13,Morning,Economy,134,453.3769493913552,0.0933333333333333,1,1,2,Moderate Risk
39,29,Suburban,silver,12,4.24,Evening,Economy,97,251.1073064574406,0.7435897435897436,0,0,1,Moderate Risk
33,6,Rural,gold,90,4.81,Night,Premium,139,521.8019208244536,0.1818181818181818,0,0,2,Low Risk
40,29,Suburban,silver,6,4.94,Night,Premium,71,346.4926515319707,0.725,0,0,1,Moderate Risk
54,35,Suburban,silver,66,4.4,Night,Economy,77,234.0714535105622,0.6481481481481481,0,0,2,Moderate Risk
53,26,Urban,gold,54,4.6,Night,Premium,52,184.0244513007148,0.490566037735849,0,0,2,Low Risk
81,34,Urban,silver,98,3.55,Afternoon,Premium,164,554.8869659163038,0.419753086419753,1,1,2,Moderate Risk
45,20,Urban,regular,80,4.73,Morning,Economy,63,192.61977241404605,0.4444444444444444,1,1,2,Low Risk
20,9,Urban,silver,77,3.91,Evening,Economy,89,227.796524806166,0.45,0,0,2,Moderate Risk
47,22,Rural,silver,11,4.8,Afternoon,Premium,119,416.601648993299,0.4680851063829787,1,1,1,Moderate Risk
33,18,Urban,gold,90,3.61,Evening,Premium,146,671.7128294096442,0.5454545454545454,0,0,2,Moderate Risk
78,57,Rural,silver,5,4.82,Morning,Premium,127,552.6397714448676,0.7307692307692307,1,1,1,Moderate Risk
26,12,Rural,silver,9,3.75,Afternoon,Economy,115,321.37240510655704,0.4615384615384615,1,1,1,High Risk
62,21,Rural,regular,61,4.57,Night,Economy,56,215.4338699200544,0.3387096774193548,0,0,2,Low Risk
84,59,Suburban,silver,67,4.27,Morning,Premium,164,758.9961232252967,0.7023809523809523,1,1,2,Moderate Risk
49,8,Urban,regular,1,4.06,Afternoon,Premium,157,694.4247148756359,0.1632653061224489,1,1,0,High Risk
34,22,Suburban,gold,34,3.64,Morning,Economy,176,617.3632185255483,0.6470588235294118,1,1,2,Moderate Risk
49,30,Rural,silver,86,3.62,Afternoon,Premium,69,328.63536897966003,0.6122448979591837,1,1,2,Moderate Risk
83,50,Rural,regular,7,3.66,Evening,Premium,100,376.3000600585162,0.6024096385542169,0,0,0,High Risk
88,5,Urban,silver,89,3.59,Night,Economy,27,70.20380336705749,0.0568181818181818,0,0,2,Moderate Risk
90,71,Suburban,gold,88,3.84,Morning,Economy,167,451.6848649701074,0.7888888888888889,1,1,2,Moderate Risk
65,5,Rural,silver,24,3.54,Night,Economy,119,301.40392677127403,0.0769230769230769,0,0,1,Moderate Risk
73,28,Urban,silver,22,4.57,Afternoon,Economy,53,153.39607111804412,0.3835616438356164,1,1,1,Moderate Risk
85,62,Suburban,silver,54,3.78,Morning,Economy,114,339.66230419418656,0.7294117647058823,1,1,2,Moderate Risk
65,27,Rural,gold,62,3.54,Night,Premium,162,733.4425366578176,0.4153846153846154,0,0,2,Moderate Risk
74,42,Urban,gold,88,3.5,Evening,Economy,77,203.8363809804033,0.5675675675675675,0,0,2,Moderate Risk
41,7,Rural,gold,68,4.3,Evening,Premium,66,284.5088586099128,0.1707317073170731,0,0,2,Moderate Risk
79,23,Urban,gold,88,3.88,Night,Economy,164,492.1134583590864,0.2911392405063291,0,0,2,Moderate Risk
53,7,Urban,silver,64,4.55,Night,Premium,10,86.19117981050438,0.1320754716981132,0,0,2,Low Risk
35,14,Urban,silver,74,5.0,Night,Premium,175,727.8809447636283,0.4,0,0,2,Low Risk
53,40,Rural,gold,79,3.66,Evening,Premium,30,158.65264164620277,0.7547169811320755,0,0,2,Moderate Risk
36,23,Urban,silver,42,4.66,Morning,Economy,14,44.52503661261306,0.6388888888888888,1,1,1,Low Risk
38,25,Urban,regular,2,4.24,Morning,Premium,128,452.4258268814717,0.6578947368421053,1,1,0,Moderate Risk
52,36,Rural,silver,1,4.52,Morning,Premium,36,152.64047921471024,0.6923076923076923,1,1,1,Moderate Risk
91,64,Suburban,regular,26,4.56,Morning,Premium,96,420.2245689053783,0.7032967032967034,1,1,1,Moderate Risk
87,5,Urban,silver,59,4.32,Night,Economy,42,151.35930066309265,0.057471264367816,0,0,2,Moderate Risk
96,20,Suburban,gold,88,3.6,Evening,Premium,71,242.27196569085137,0.2083333333333333,0,0,2,Moderate Risk
83,59,Urban,gold,8,4.85,Morning,Economy,31,119.0485543701777,0.7108433734939759,1,1,2,Moderate Risk
48,23,Rural,gold,0,4.46,Afternoon,Economy,174,472.56954081275165,0.4791666666666667,1,1,2,Moderate Risk
65,19,Suburban,silver,24,4.59,Evening,Economy,96,334.6493506052282,0.2923076923076923,0,0,1,Moderate Risk
79,29,Suburban,silver,0,4.86,Morning,Economy,127,406.0855256604135,0.3670886075949367,1,1,1,Moderate Risk
100,22,Suburban,silver,45,4.23,Night,Premium,141,551.365137615676,0.22,0,0,1,Moderate Risk
